Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1
Lands End School,Private,-2,-1,PK,Independent / Private,CDC071,3,4,CDC,380506270,"4150 CLEMENT ST BLDG T35, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.7825928, -122.5045776)"
Laurel Hill Nursery School,Private,-2,-1,PK,Independent / Private,CDC072,3,4,CDC,380504783,"401 EUCLID AVE, SAN FRANCISCO, CA 94118",2,06075,SAN FRANCISCO,"CA
(37.7837982, -122.4527283)"
Learning Bridge Preschool,Private,-2,-1,PK,Independent / Private,CDC073,3,4,CDC,384000353,"1050 KIRKHAM ST, SAN FRANCISCO, CA 94122",7,06075,SAN FRANCISCO,"CA
(37.7602425, -122.4722061)"
Little Angels Daycare,Private,-2,-1,PK,Independent / Private,CDC074,3,4,CDC,NOT_FOUND,"2135 OCEAN AVE, SAN FRANCISCO, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.7266731, -122.4664230)"
Little Bear School,Private,-2,-1,PK,Independent / Private,CDC075,3,4,CDC,384001397,"65 OCEAN AVE, SAN FRANCISCO, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.7231789, -122.4380951)"
Little Childrens Developmental Center,Private,-2,-1,PK,Independent / Private,CDC076,3,4,CDC,384000818,"1223 WEBSTER ST, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.7819557, -122.4310455)"
Little Footprints Preschool,Private,-2,-1,PK,Independent / Private,CDC077,3,4,CDC,384002156,"2201 VICENTE ST, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.7384148, -122.4906998)"
Little School,Private,-2,-1,PK,Independent / Private,CDC078,3,4,CDC,384000125,"1520 LYON ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.7851372, -122.4447174)"
Little Star Preschool,Private,-2,-1,PK,Independent / Private,CDC079,3,4,CDC,380504535,"2540 TARAVAL ST, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.7425079, -122.4936676)"
Little Star Preschool Too,Private,-2,-1,PK,Independent / Private,CDC080,3,4,CDC,384000093,"1105 QUINTARA ST, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.7483406, -122.4775696)"
Little Sunshine Childcare,Private,-2,-1,PK,Independent / Private,CDC081,3,4,CDC,NOT_FOUND,"308 JULES AVE, SAN FRANCISCO, CA 94112",7,06075,SAN FRANCISCO,"CA
(37.7238998, -122.4609604)"
Little Tree Preschool,Private,-2,-1,PK,Independent / Private,CDC082,3,4,CDC,NOT_FOUND,"3161 MISSION ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.7464027, -122.4190369)"
Lone Mountain Childrens Center,Private,-2,-1,PK,Independent / Private,CDC083,3,4,CDC,384000944,"1806 BELLES ST, SAN FRANCISCO, CA 94129",2,06075,SAN FRANCISCO,"CA
(37.7886810, -122.4736328)"
Love And Learn Nursery School,Private,-2,-1,PK,Independent / Private,CDC084,3,4,CDC,380503540,"1419 HOWARD ST, SAN FRANCISCO, CA 94103",6,06075,SAN FRANCISCO,"CA
(37.7733498, -122.4147949)"
"Mahler, Theresa S. Mahler Early Education School",SFUSD,-2,-1,PK,USD PreK,CDC085,3,4,CDC,38684780117572,"990 CHURCH ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.7552757, -122.4280930)"
Maria Montessori School Of The Golden Gate,Private,-2,-1,PK,Independent / Private,CDC086,3,4,CDC,380506275,"62 LENOX WAY, SAN FRANCISCO, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.7425995, -122.4652100)"
Marin Day School - Congregation Sherith Israel,Private,-2,-1,PK,Independent / Private,CDC087,3,4,CDC,384001298,"2664 CALIFORNIA ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.7886467, -122.4382477)"
Marin Day School - Fremont St,Private,-2,-1,PK,Independent / Private,CDC088,3,4,CDC,384001296,"199 FREMONT ST, SAN FRANCISCO, CA 94105",6,06075,SAN FRANCISCO,"CA
(37.7898827, -122.3948898)"
Marin Day School - Hills Plaza,Private,-4,-2,INF,Independent / Private,CDC089,1,3,CDC,384001299,"2 HARRISON ST, STE 150, SAN FRANCISCO, CA 94105",6,06075,SAN FRANCISCO,"CA
(37.7898026, -122.3897552)"
Marin Day School - Market Street,Private,-4,-2,INF,Independent / Private,CDC090,1,3,CDC,384001297,"1390 MARKET ST, STE 108, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.7772255, -122.4173584)"
Marin Day School - San Francisco City Hall,Private,-2,-1,PK,Independent / Private,CDC091,3,4,CDC,384001292,"1 DR CARLTON B GOODLETT PL, RM 68, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.7793236, -122.4188156)"
Marin Day School - Spear St,Private,-2,-1,PK,Independent / Private,CDC092,3,4,CDC,384001294,"101 HOWARD ST, SAN FRANCISCO, CA 94105",6,06075,SAN FRANCISCO,"CA
(37.7908783, -122.3925247)"
Marina Childrens Center,Private,-2,-1,PK,Independent / Private,CDC093,3,4,CDC,384000897,"3219 LAGUNA ST, SAN FRANCISCO, CA 94123",2,06075,SAN FRANCISCO,"CA
(37.8007736, -122.4314880)"
Martha Hills Learning Center,Private,-2,-1,PK,Independent / Private,CDC094,3,4,CDC,384001666,"1042 JAMESTOWN AVE, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.7191620, -122.3942413)"
"Milk, Harvey Milk Childrens Center",SFUSD,-2,-1,PK,USD PreK,CDC095,3,4,CDC,SFUSD unknown,"841 ELLIS ST, SAN FRANCISCO CA 94117",6,06075,SAN FRANCISCO,"CA
(37.7838020, -122.4201050)"
Miraloma Cooperative Nursery School,Private,-2,-1,PK,Independent / Private,CDC096,3,4,CDC,380505313,"443 FOERSTER ST, SAN FRANCISCO, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.7321930, -122.4491425)"
Mission Neighborhood Centers - 24Th St Head Start,Private,-2,-1,PK,Independent / Private,CDC097,3,4,CDC,380504876,"3013 24TH ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.7524567, -122.4122238)"
Mission Neighborhood Centers - Alemany Head Start,Private,-2,-1,PK,Independent / Private,CDC098,3,4,CDC,NOT_FOUND,"956 ELLSWORTH ST, SAN FRANCISCO, CA 94112",9,06075,SAN FRANCISCO,"CA
(37.7330132, -122.4178848)"
Mission Neighborhood Centers - Bernal Dwellings Child Development,Private,-2,-1,PK,Independent / Private,CDC099,3,4,CDC,384001017,"3185 26TH ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.7488480, -122.4126205)"
Mission Neighborhood Centers - Capp Head Start,Private,-2,-1,PK,Independent / Private,CDC100,3,4,CDC,380505268,"362 CAPP ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.7609863, -122.4184952)"
Mission Neighborhood Centers - Edificio De Mujeres / Womens Building,Private,-2,-1,PK,Independent / Private,CDC101,3,4,CDC,384000867,"3543 18TH ST, SAN FRANCISCO, CA 94110",8,06075,SAN FRANCISCO,"CA
(37.7614212, -122.4226151)"
Mission Neighborhood Centers - Jean Jacobs,Private,-2,-1,PK,Independent / Private,CDC102,3,4,CDC,384001206,"459 VIENNA ST, SAN FRANCISCO, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.7209511, -122.4296951)"
Mission Neighborhood Centers - Mission Bay,Private,-2,-1,PK,Independent / Private,CDC103,3,4,CDC,384001138,"150 BERRY ST, SAN FRANCISCO, CA 94107",6,06075,SAN FRANCISCO,"CA
(37.7764931, -122.3929901)"
Mission Neighborhood Centers - Southeast Families United Childcare,Private,-2,-1,PK,Independent / Private,CDC104,3,4,CDC,384001834,"1337 EVANS AVE, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.7397537, -122.3835907)"
Mission Neighborhood Centers - Stevenson,Private,-2,-1,PK,Independent / Private,CDC105,3,4,CDC,384000731,"1320 STEVENSON ST, SAN FRANCISCO, CA 94103",6,06075,SAN FRANCISCO,"CA
(37.7714691, -122.4218826)"
Mission Neighborhood Centers - Valencia Gardens,Private,-2,-1,PK,Independent / Private,CDC106,3,4,CDC,384001634,"380 VALENCIA ST, SAN FRANCISCO, CA 94103",8,06075,SAN FRANCISCO,"CA
(37.7670975, -122.4232025)"
Montessori Childrens Center,Private,-2,-1,PK,Independent / Private,CDC107,3,4,CDC,384001313,"80 JUAN BAUTISTA CIR, SAN FRANCISCO, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.7182655, -122.4809113)"
Montessori Childrens House Of The West Coast,Private,-2,-1,PK,Independent / Private,CDC108,3,4,CDC,380503970,"25 LAKE ST, SAN FRANCISCO, CA 94118",2,06075,SAN FRANCISCO,"CA
(37.7866707, -122.4596863)"
Montessori School Of The Bay Area,Private,-2,-1,PK,Independent / Private,CDC109,3,4,CDC,380505730,"1530 EDDY ST, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.7815895, -122.4333115)"
Munchkinland Preschool And Family Daycare,Private,-2,-1,PK,Independent / Private,CDC110,3,4,CDC,NOT_FOUND,"4710 CABRILLO ST, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.7734451, -122.5092545)"
My Little Learning Tree,Private,-2,-1,PK,Independent / Private,CDC111,3,4,CDC,384002056,"2118 CLEMENT ST, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.7823944, -122.4820862)"
Nihonmachi Little Friends - After School Program,Private,-2,-1,PK,Independent / Private,CDC112,3,4,CDC,380504889,"1700 SUTTER ST, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.7869186, -122.4286880)"
Nihonmachi Little Friends - Bush St,Private,-2,-1,PK,Independent / Private,CDC113,3,4,CDC,380504390,"2031 BUSH ST, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.7870903, -122.4305878)"
Nihonmachi Little Friends - Sutter St,Private,-2,-1,PK,Independent / Private,CDC114,3,4,CDC,380504776,"1830 SUTTER ST, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.7867165, -122.4305573)"
Noe Valley Nursery School,Private,-2,-1,PK,Independent / Private,CDC115,3,4,CDC,384002096,"5210 DIAMOND HEIGHTS BLVD, SAN FRANCISCO, CA 94131",8,06075,SAN FRANCISCO,"CA
(37.7434692, -122.4405518)"
One Fifty Parker Ave School,Private,-2,-1,PK,Independent / Private,CDC116,3,4,CDC,380500487,"150 PARKER AVENUE, SAN FRANCISCO, CA 94118",2,06075,SAN FRANCISCO,"CA
(37.7828178, -122.4540939)"
Our Victorian Schoolhouse,Private,-2,-1,PK,Independent / Private,CDC117,3,4,CDC,384001973,"823 DIVISIDERO ST, SAN FRANCISCO, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.7772408, -122.4386368)"
Pacific Primary - Orange Sun School,Private,-2,-1,PK,Independent / Private,CDC118,3,4,CDC,384001816,"1501 GROVE ST, SAN FRANCISCO, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.7752838, -122.4416046)"
Pacific Primary - Yellow Sun School,Private,-2,-1,PK,Independent / Private,CDC119,3,4,CDC,380500491,"1500 GROVE ST, SAN FRANCISCO, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.7756577, -122.4417343)"
Peekadoodle Of San Francisco,Private,-2,-1,PK,Independent / Private,CDC120,3,4,CDC,384002261,"900 NORTH POINT ST STE F100, SAN FRANCISCO, CA 94109",2,06075,SAN FRANCISCO,"CA
(37.8055344, -122.4231873)"
Peters Place Nursery School,Private,-2,-1,PK,Independent / Private,CDC121,3,4,CDC,384000741,"227 BALBOA ST, SAN FRANCISCO, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.7770920, -122.4613571)"
Phoebe A Hearst Learning Center,Private,-2,-1,PK,Independent / Private,CDC122,3,4,CDC,380500512,"1315 ELLIS ST, SAN FRANCISCO, CA 94114",5,06075,SAN FRANCISCO,"CA
(37.7826805, -122.4279480)"
Playmates Cooperative Nursery School,Private,-2,-1,PK,Independent / Private,CDC123,3,4,CDC,380504052,"2342 42ND AVE, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.7430153, -122.5000763)"
"Preschool, The",Private,-2,-1,PK,Independent / Private,CDC124,3,4,CDC,380505138,"102 SAN JOSE AVE, SAN FRANCISCO, CA 94110",8,06075,SAN FRANCISCO,"CA
(37.7532616, -122.4217911)"
Presidio Preschool,Private,-2,-1,PK,Independent / Private,CDC125,3,4,CDC,384002067,"143 CLEMENT ST, SAN FRANCISCO, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.7828636, -122.4608307)"
Rainbow Montessori Of San Francisco,Private,-2,-1,PK,Independent / Private,CDC126,3,4,CDC,380505779,"2354 24TH AVE, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.7435379, -122.4807587)"
Rocky Mountain Participation Nursery School,Private,-2,-1,PK,Independent / Private,CDC127,3,4,CDC,380504057,"2475 15TH ST, SAN FRANCISCO, CA 94114",7,06075,SAN FRANCISCO,"CA
(37.7418404, -122.4716034)"
Room To Grow Preschool,Private,-2,-1,PK,Independent / Private,CDC128,3,4,CDC,384001473,"3786 MISSION ST, SAN FRANCISCO, CA 94110",8,06075,SAN FRANCISCO,"CA
(37.7362099, -122.4247284)"
Russian Hill School,Private,-2,-1,PK,Independent / Private,CDC129,3,4,CDC,384001346,"2026 DIVISADERO ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.7885208, -122.4401932)"
Saint James Preschool (Episcopal Church),Private,-2,-1,PK,Independent / Private,CDC130,3,4,CDC,380500619,"4620 CALIFORNIA ST, SAN FRANCISCO, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.7849388, -122.4672012)"
Saint Luke School (Sls Preschool),Private,-2,-1,PK,Independent / Private,CDC131,3,4,CDC,384002543,"1335 SUTTER ST, SAN FRANCISCO, CA 94109",2,06075,SAN FRANCISCO,"CA
(37.7872086, -122.4223404)"
Saint Nicholas Day Care And Preschool,Private,-2,-1,PK,Independent / Private,CDC132,3,4,CDC,380504369,"5200 DIAMOND HEIGHTS BLVD, SAN FRANCISCO, CA 94131",8,06075,SAN FRANCISCO,"CA
(37.7449226, -122.4404221)"
San Francisco Montessori Academy,Private,-2,-1,PK,Independent / Private,CDC133,3,4,CDC,NOT_FOUND,"1566 32ND AVE, SAN FRANCISCO, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.7579918, -122.4903793)"
Scandanavian School,Private,-2,-1,PK,Independent / Private,CDC134,3,4,CDC,384001418,"20 WOODSIDE AVE, SAN FRANCISCO, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.7465820, -122.4578781)"
Serra Preschool,Private,-2,-1,PK,Independent / Private,CDC135,3,4,CDC,384001376,"7 FUNSTON AVE, SAN FRANCISCO, CA 94129",2,06075,SAN FRANCISCO,"CA
(37.7992973, -122.4561157)"
South Of Market Child Care - Judith Baker Child Development Center,Private,-2,-1,PK,Independent / Private,CDC136,3,4,CDC,384001365,"685 NATOMA ST, SAN FRANCISCO, CA 94103",6,06075,SAN FRANCISCO,"CA
(37.7768059, -122.4114761)"
South Of Market Child Care - Yerba Buena Gardens Child Development Center,Private,-2,-1,PK,Independent / Private,CDC137,3,4,CDC,384000406,"790 FOLSOM ST, SAN FRANCISCO, CA 94107",6,06075,SAN FRANCISCO,"CA
(37.7835121, -122.4008102)"
Starlight Christian Preschool 1,Private,-2,-1,PK,Independent / Private,CDC138,3,4,CDC,384001339,"750 26TH AVE, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.7753105, -122.4849243)"
Starlight Christian Preschool 2,Private,-2,-1,PK,Independent / Private,CDC139,3,4,CDC,384001536,"3155 VICENTE ST, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.7380219, -122.5009766)"
Stretch The Imagination Child Care Center,Private,-2,-1,PK,Independent / Private,CDC140,3,4,CDC,384002029,"2509 BUSH ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.7860947, -122.4388885)"
Sunset Cooperative Nursery School,Private,-2,-1,PK,Independent / Private,CDC141,3,4,CDC,384002119,"4245 LAWTON ST, SAN FRANCISCO, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.7563858, -122.5084991)"
Sweet Peas Preschool - East,Private,-2,-1,PK,Independent / Private,CDC142,3,4,CDC,384002314,"2730 17TH ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.7645149, -122.4111023)"
Sweet Peas Preschool - West,Private,-2,-1,PK,Independent / Private,CDC143,3,4,CDC,NOT_FOUND,"87 MELROSE AVE, SAN FRANCISCO, CA 94131",7,06075,SAN FRANCISCO,"CA
(37.7335968, -122.4440079)"
Teaching Tots Preschool,Private,-2,-1,PK,Independent / Private,CDC144,3,4,CDC,NOT_FOUND_ADDR,"728 PACIFIC AVE STE 706, SAN FRANCISCO, CA 94133",3,06075,SAN FRANCISCO,"CA
(37.7970924, -122.4074707)"
Telegraph Hill Neighborhood Center Child Development Preschool,Private,-2,-1,PK,Independent / Private,CDC145,3,4,CDC,380504793,"660 LOMBARD ST, SAN FRANCISCO, CA 94133",3,06075,SAN FRANCISCO,"CA
(37.8034439, -122.4125366)"
Telegraph Hill Parent Participation Nursery School,Private,-2,-1,PK,Independent / Private,CDC146,3,4,CDC,384002580,"922 JACKSON ST, SAN FRANCISCO, CA 94133",3,06075,SAN FRANCISCO,"CA
(37.7956810, -122.4103775)"
Treasure Island Child Development Center,Private,-2,-1,PK,Independent / Private,CDC147,3,4,CDC,384002011,"850 AVE D, SAN FRANCISCO, CA 94130",6,06075,SAN FRANCISCO,"CA
(37.8259850, -122.3725052)"
True Sunshine Preschool Center,Private,-2,-1,PK,Independent / Private,CDC148,3,4,CDC,380504311,"777 STOCKTON ST STE 201, SAN FRANCISCO, CA 94108",3,06075,SAN FRANCISCO,"CA
(37.7929764, -122.4078445)"
Ucsf - Marilyn Reed Lucia Child Care Study Center,Private,-2,-1,PK,Independent / Private,CDC149,3,4,CDC,384002158,"610 PARNASSUS AVE, SAN FRANCISCO, CA 94143",5,06075,SAN FRANCISCO,"CA
(37.7630997, -122.4601212)"
Ucsf - Parnassus-Kirkham Child Development Center,Private,-2,-1,PK,Independent / Private,CDC150,3,4,CDC,384001814,"10 KIRKHAM ST, SAN FRANCISCO, CA 94143",5,06075,SAN FRANCISCO,"CA
(37.7615242, -122.4611664)"
Ucsf - University Child Care Center - Laurel Heights,Private,-2,-1,PK,Independent / Private,CDC151,3,4,CDC,384001301,"3333 CALIFORNIA ST STE 220, SAN FRANCISCO, CA 94118",2,06075,SAN FRANCISCO,"CA
(37.7860985, -122.4483871)"
Ucsf - University Child Care Center - Mission Bay,Private,-2,-1,PK,Independent / Private,CDC152,3,4,CDC,384001586,"1555 6TH ST, SAN FRANCISCO, CA 94158",6,06075,SAN FRANCISCO,"CA
(37.7686768, -122.3939667)"
Valdivia Family Day Care,Private,-2,-1,PK,Independent / Private,CDC153,3,4,CDC,NOT_FOUND,"1227 HAMPSHIRE ST APT 43, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.7525787, -122.4068069)"
Wah Mei School,Private,-2,-1,PK,Independent / Private,CDC154,3,4,CDC,380504314,"1400 JUDAH ST, SAN FRANCISCO, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.7618599, -122.4773712)"
Wind In The Willows Early Learning Center,Private,-2,-1,PK,Independent / Private,CDC155,3,4,CDC,384000832,"713 MONTEREY BLVD, SAN FRANCISCO, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.7312584, -122.4514618)"
Wu Yee Child Development Center - Bayview,Private,-2,-1,PK,Independent / Private,CDC156,3,4,CDC,384002433,"1601 LANE ST, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.7318039, -122.3895798)"
Wu Yee Child Development Center - Cadillac,Private,-2,-1,PK,Independent / Private,CDC157,3,4,CDC,384002512,"398 EDDY ST, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.7840538, -122.4139404)"
Wu Yee Child Development Center - Chinatown Little Sprouts,Private,-2,-1,PK,Independent / Private,CDC158,3,4,CDC,384000804,"831 BROADWAY ST, SAN FRANCISCO, CA 94133",3,06075,SAN FRANCISCO,"CA
(37.7970123, -122.4107132)"
Wu Yee Child Development Center - Generations,Private,-2,-1,PK,Independent / Private,CDC159,3,4,CDC,380505707,"1010 MONTGOMERY ST, SAN FRANCISCO, CA 94133",3,06075,SAN FRANCISCO,"CA
(37.7984924, -122.4037094)"
Wu Yee Child Development Center - Golden Gate,Private,-2,-1,PK,Independent / Private,CDC160,3,4,CDC,380506088,"177 GOLDEN GATE AVE, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.7816696, -122.4135590)"
Wu Yee Child Development Center - Hunters Point/Kirkwood,Private,-2,-1,PK,Independent / Private,CDC161,3,4,CDC,384002529,"729 KIRKWOOD AVE, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.7288704, -122.3744049)"
Wu Yee Child Development Center - Lok Yuen,Private,-2,-1,PK,Independent / Private,CDC162,3,4,CDC,384000493,"930 STOCKTON ST, SAN FRANCISCO, CA 94108",3,06075,SAN FRANCISCO,"CA
(37.7943649, -122.4077911)"
Wu Yee Child Development Center - New Generation,Private,-2,-1,PK,Independent / Private,CDC163,3,4,CDC,384000921,"700 VELASCO AVE, SAN FRANCISCO, CA 94134",10,06075,SAN FRANCISCO,"CA
(37.7101822, -122.4180984)"
"Wu Yee Child Development Center - Omi (Ocean View,Merced Heights,Ingleside)",Private,-2,-1,PK,Independent / Private,CDC164,3,4,CDC,384002513,"1111 JUNIPERO SERRA BLVD, SAN FRANCISCO, CA 94132",11,06075,SAN FRANCISCO,"CA
(37.7174644, -122.4719696)"
Wu Yee Child Development Center - Potrero Hill,Private,-2,-1,PK,Independent / Private,CDC165,3,4,CDC,384002515,"824 CAROLINA ST, SAN FRANCISCO, CA 94107",10,06075,SAN FRANCISCO,"CA
(37.7582359, -122.4003143)"
Wu Yee Child Development Center - South East,Private,-2,-1,PK,Independent / Private,CDC166,3,4,CDC,384002516,"1300 PHELPS ST, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.7374191, -122.3938370)"
Wu Yee Child Development Center - Westside,Private,-2,-1,PK,Independent / Private,CDC167,3,4,CDC,384002531,"2400 POST ST, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.7844658, -122.4422684)"
City College of San Francisco Chinatown North Beach Center,SFCCD,13,14,13-14,Community College District,CC01,18,19,CC,SFCCD_unknown,"808 KEARNY ST, SAN FRANCISCO, CA 94108",7,06075,SAN FRANCISCO,"CA
(37.7955551, -122.4047012)"
City College of San Francisco Civic Center,SFCCD,13,14,13-14,Community College District,CC02,18,19,CC,SFCCD_unknown,"1170 MARKET ST, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.7795448, -122.4142990)"
City College of San Francisco Downtown Center,SFCCD,13,14,13-14,Community College District,CC03,18,19,CC,SFCCD_unknown,"88 4TH ST, SAN FRANCISCO, CA 94103",6,06075,SAN FRANCISCO,"CA
(37.7845650, -122.4047241)"
City College of San Francisco Evans Center,SFCCD,13,14,13-14,Community College District,CC04,18,19,CC,SFCCD_unknown,"1400 EVANS AVE, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.7418594, -122.3846817)"
City College of San Francisco Fort Mason Site,SFCCD,13,14,13-14,Community College District,CC05,18,19,CC,SFCCD_unknown,"2 MARINA BLVD, SAN FRANCISCO, CA 94123",2,06075,SAN FRANCISCO,"CA
(37.8067703, -122.4318237)"
City College of San Francisco Gough Street Location,SFCCD,13,14,13-14,Community College District,CC06,18,19,CC,SFCCD_unknown,"33 GOUGH ST, SAN FRANCISCO, CA 94103",6,06075,SAN FRANCISCO,"CA
(37.7719879, -122.4212112)"
City College of San Francisco John Adams Center,SFCCD,13,14,13-14,Community College District,CC07,18,19,CC,SFCCD_unknown,"1860 HAYES ST, SAN FRANCISCO, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.7740860, -122.4471893)"
City College of San Francisco Mission Center,SFCCD,13,14,13-14,Community College District,CC08,18,19,CC,SFCCD_unknown,"1125 VALENCIA ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.7547913, -122.4206161)"
City College of San Francisco Ocean Campus,SFCCD,13,14,13-14,Community College District,CC09,18,19,CC,SFCCD_unknown,"50 PHELAN AVE, SAN FRANCISCO, CA 94112",7,06075,SAN FRANCISCO,"CA
(37.7257156, -122.4511337)"
City College of San Francisco Southeast Center,SFCCD,13,14,13-14,Community College District,CC10,18,19,CC,SFCCD_unknown,"1800 OAKDALE AVE, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.7371483, -122.3940964)"
